date, pm25, pm10, o3, no2, so2, co
2023/7/24, 31, , 92, 7, , 1
2023/7/26, 55, 16, 68, 6, , 1
2023/7/27, 46, 12, 45, 5, , 1
2023/7/28, 34, 10, 41, 3, , 1
2023/7/29, 32, 11, 35, 3, , 1
2023/7/30, 31, 9, 28, 3, , 1
2023/7/31, 26, 11, 24, 10, , 1
2023/8/1, 27, 9, 26, 7, , 1
2023/8/2, 23, 10, 23, 4, , 1
2023/8/3, 27, 15, 47, 6, , 1
2023/8/4, 42, 11, 26, 4, , 1
2023/8/5, 28, 10, 16, 2, , 1
2023/8/6, 25, 8, 19, 3, , 2
2023/8/7, 17, 11, 26, 6, , 2
2023/8/8, 21, 12, 8, 5, , 2
2023/8/9, 20, 13, 27, 5, , 1
2023/8/10, 34, 12, 23, 3, , 1
2023/8/11, 29, 10, 38, 4, , 1
2023/8/12, 27, 12, 14, 3, , 1
2023/8/13, 23, 17, 12, 2, , 1
2023/8/14, 31, 25, 24, 3, , 2
2023/8/15, 54, 22, 23, 1, , 
2023/8/16, 50, 14, 26, 2, , 1
2023/8/17, 35, 14, 31, 5, , 2
2023/8/18, 36, 16, 68, 6, , 2
2023/8/19, 44, 17, 58, 4, , 2
2023/8/20, 47, 11, 28, 6, , 1
2023/8/21, 24, 10, 7, 4, , 2
